record_id_event,ACC_4G_COV,ACC_MM_ACCOUNT,ACC_OWNERSHIP,AFF_DATA_INCOME,GEN_GAP_ACC,USG_MPESA_ACTIVE,USG_MPESA_USERS,USG_P2P_COUNT,USG_TELEBIRR_USERS
EVT_0001,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0
EVT_0002,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
EVT_0003,0.0,15.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
EVT_0004,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0
EVT_0005,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
EVT_0007,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0
EVT_0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
EVT_0010,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
